q1,q2,edgeNum,pathwayNumber,ShortestPath
ko:K00128 ko:K14085 ko:K00149,cpd:C00628, , , ,
ko:K02685,cpd:C11410, , , ,
cpd:C11410,ko:K02685, , , ,
gl:G00097,ko:K01942, , , ,
ko:K01942,gl:G00097, , , ,
ko:K14471 ko:K14472 ko:K18289,ko:K13344, , , ,
ko:K13344,ko:K14471 ko:K14472 ko:K18289, , , ,
path:ko03070,cpd:C01499, , , ,
cpd:C01499,path:ko03070, , , ,
ko:K13708,cpd:C03455, , , ,
cpd:C03455,ko:K13708, , , ,
path:ko00072,cpd:C00311, , , ,
cpd:C19796,cpd:C19561, , , ,
cpd:C19561,cpd:C19796, , , ,
ko:K03001,cpd:C00186, , , ,
cpd:C00186,ko:K03001, , , ,
ko:K15913,ko:K05855, , , ,
ko:K04533,ko:K03544, , , ,
ko:K03544,ko:K04533, , , ,
ko:K15890 ko:K15891,path:ko00660, , , ,
path:ko04110,cpd:C16413, , , ,
cpd:C16413,path:ko04110, , , ,
gl:G00095,ko:K03099, , , ,
ko:K03099,gl:G00095, , , ,
ko:K04618,ko:K00817, , , ,
cpd:C20440,cpd:C00410, , , ,
ko:K04726,ko:K17001, , , ,
ko:K00287 ko:K18589 ko:K18590 ko:K18591 ko:K13998,ko:K01565, , , ,
ko:K01565,ko:K00287 ko:K18589 ko:K18590 ko:K18591 ko:K13998, , , ,
cpd:C00668,cpd:C16393, , , ,
cpd:C16393,cpd:C00668, , , ,
ko:K11185 ko:K11186,ko:K01640, , , ,
cpd:C05995,cpd:C00031, , , ,
cpd:C00031,cpd:C05995, , , ,
cpd:C20737,cpd:C00022, , , ,
ko:K01813 ko:K01820,ko:K00857, , , ,
ko:K00857,ko:K01813 ko:K01820, , , ,
ko:K04730 ko:K04731,ko:K11592, , , ,
ko:K11592,ko:K04730 ko:K04731, , , ,
ko:K02536,cpd:C06571, , , ,
cpd:C06571,ko:K02536, , , ,
ko:K01904,cpd:C02137, , , ,
path:ko04340,cpd:C20637, , , ,
cpd:C20637,path:ko04340, , , ,
ko:K00873,cpd:C00162, , , ,
cpd:C00162,ko:K00873, , , ,
cpd:C14097,ko:K01247 ko:K13529, , , ,
ko:K01247 ko:K13529,cpd:C14097, , , ,
ko:K19107,cpd:C04488, , , ,
cpd:C04488,ko:K19107, , , ,
ko:K10628,cpd:C00076, , , ,
cpd:C00076,ko:K10628, , , ,
cpd:C18115,cpd:C09248, , , ,
cpd:C09248,cpd:C18115, , , ,
ko:K18382 ko:K18369 ko:K18370,path:ko00521, , , ,
path:ko00521,ko:K18382 ko:K18369 ko:K18370, , , ,
ko:K10803,ko:K01499, , , ,
ko:K01499,ko:K10803, , , ,
ko:K04503 ko:K10151 ko:K10152,ko:K06481 ko:K05719, , , ,
ko:K06481 ko:K05719,ko:K04503 ko:K10151 ko:K10152, , , ,
cpd:C18237,ko:K12804, , , ,
ko:K12804,cpd:C18237, , , ,
cpd:C05273,ko:K01501, , , ,
ko:K01501,cpd:C05273, , , ,
path:ko00603,path:ko03022, , , ,
path:ko03022,path:ko00603, , , ,
cpd:C14783,ko:K02677, , , ,
ko:K02677,cpd:C14783, , , ,
cpd:C00071,cpd:C02457, , , ,
cpd:C02457,cpd:C00071, , , ,
ko:K01186 ko:K12357,cpd:C18300, , , ,
cpd:C18300,ko:K01186 ko:K12357, , , ,
ko:K02607,ko:K00289, , , ,
ko:K00289,ko:K02607, , , ,
cpd:C00022,cpd:C05485, , , ,
cpd:C05485,cpd:C00022, , , ,
cpd:C03090,ko:K12795, , , ,
